"","brewery_name","beer_name","all","aroma","appearance","palate","abv","taste","count"
"1","","Breakaway IPA",4,4.25,3.5,4.25,7.2,4.25,2
"2","","Caboose Oatmeal Stout",5,4.5,4,4.5,7,4.5,1
"3","","Engel Aloisius - WRONG BREWERY SEE CRAILSHEIMER",3.5,4,3,3,5.9,3.5,1
"4","","Engel Bock Dunkel WRONG BREWERY SEE CRAILSHEIMER",4,4.5,3.5,4,7.2,3.5,1
"5","","Engel Gold WRONG BREWERY SEE CRAILSHEIMER",3.5,3,3,4,5.4,4,1
"6","","Engel Keller Dunkel  WRONG BREWERY SEE CRAILSHEIMER",3.66666666666667,3.5,3.66666666666667,3.33333333333333,5.3,3.83333333333333,3
"7","","Engel Keller Hell WRONG BREWERY SEE CRAILSHEIMER",3.5,4,4,4,5.4,3.5,1
"8","","Engel Landbier WRONG BREWERY SEE CRAILSHEIMER",3.5,4,3.5,3.5,4.8,3,1
"9","","Engel Tyrolian Bräu WRONG BREWERY SEE SCHWABISCH GMUND",2,2.5,2.5,1.5,5,1.5,1
"10","","Hard Hat American Beer",3.5,3.5,3.5,4,3.8,3.5,1
"11","","Side Pocket",2,1.75,2,1.75,8.5,1.75,2
"12","'t Hofbrouwerijke","Blondelle",4,4.5,3.5,4,8,4,1
"13","'t Hofbrouwerijke","Bosprotter",3.72222222222222,3.83333333333333,3.66666666666667,3.61111111111111,8.5,3.77777777777778,9
"14","'t Hofbrouwerijke","Hof Korvatunturi",3.75,4,3.75,3.5,11,3.75,2
"15","'t Hofbrouwerijke","Hofblues",3.8125,3.8125,4,3.625,5.5,3.59375,16
"16","'t Hofbrouwerijke","Hofdraak",3.35714285714286,3.42857142857143,3.71428571428571,3.14285714285714,6.5,3.42857142857143,7
"17","'t Hofbrouwerijke","Hofnar",3,3,4,3.5,5,3.5,1
"18","'t Hofbrouwerijke","Hoftrol",4.5,5,4.5,4,6.2,3.5,1
"19","(512) Brewing Company","(512) Alt",4.09090909090909,3.81818181818182,3.77272727272727,4,6,3.90909090909091,11
"20","(512) Brewing Company","(512) Black IPA",4,3.88461538461538,4.23076923076923,3.92307692307692,7,4.03846153846154,13
"21","(512) Brewing Company","(512) Brandy Barrel Aged ONE",3.75,4.1875,3.875,3.75,8,4.0625,8
"22","(512) Brewing Company","(512) Bruin",3.96875,3.84375,3.96875,3.875,7.6,4.28125,16
"23","(512) Brewing Company","(512) Cascabel Cream Stout",3.64285714285714,3.71428571428571,4.07142857142857,3.64285714285714,6,3.57142857142857,7
"24","(512) Brewing Company","(512) IPA",4.25925925925926,4.12962962962963,4.00925925925926,4.10185185185185,7,4.18518518518519,54
"25","(512) Brewing Company","(512) ONE",3.73076923076923,3.76923076923077,4.03846153846154,3.76923076923077,8,3.80769230769231,13
"26","(512) Brewing Company","(512) Pale",3.67857142857143,3.75,3.89285714285714,3.78571428571429,5.5,3.67857142857143,14
"27","(512) Brewing Company","(512) Pecan Porter",4.18518518518519,4.0679012345679,4.16666666666667,3.98148148148148,6.8,4.16666666666667,81
"28","(512) Brewing Company","(512) Three",4.07142857142857,4.14285714285714,3.92857142857143,4.07142857142857,9.5,4.14285714285714,7
"29","(512) Brewing Company","(512) TWO",3.82352941176471,3.82352941176471,3.94117647058824,3.76470588235294,9,3.85294117647059,17
"30","(512) Brewing Company","(512) Whiskey Barrel Aged Double Pecan Porter",4.06756756756757,4.09459459459459,4.18918918918919,4.06756756756757,8.2,4.13513513513514,37
"31","(512) Brewing Company","(512) Wit",4.30555555555556,3.97222222222222,4.02777777777778,3.88888888888889,5.5,3.97222222222222,18
"32","10 Barrel Brewing Co.","10 Barrel IPA",3,4.5,4,3.5,6.5,3,1
"33","10 Barrel Brewing Co.","10 Barrel Light",4.5,3.5,4.5,4,4.7,4,1
"34","10 Barrel Brewing Co.","Apocalypse IPA",3.74,3.62,3.84,3.7,6.5,3.68,25
"35","10 Barrel Brewing Co.","Bourbon Bitter",3.5,3.75,3.75,3.75,4.3,3.75,2
"36","10 Barrel Brewing Co.","Code 24 Pale Ale",4.5,3.5,4,4,5.2,4,1
"37","10 Barrel Brewing Co.","ISA (India-Style Session Ale)",3.75,3.5,3.8125,3.8125,5.5,3.5625,8
"38","10 Barrel Brewing Co.","Ping-Pong Pumpkin Ale",4,4,3.5,4,6.5,4,1
"39","10 Barrel Brewing Co.","Pray For Snow",3.5,3.33333333333333,3.66666666666667,3.66666666666667,7.6,3.5,3
"40","10 Barrel Brewing Co.","Precursor",3.625,3.5,4.125,3.75,10,3.625,4
"41","10 Barrel Brewing Co.","S1nist0r Black Ale",3.75806451612903,3.54838709677419,3.80645161290323,3.41935483870968,5.4,3.61290322580645,31
"42","10 Barrel Brewing Co.","Zitrone Kolsch",4,4,4,4,5,4,1
"43","1516 Brewing Company","Aconcagua",3.5,3.5,3.5,3,4.8,4,1
"44","1516 Brewing Company","Amarillo Pale Ale",4,3.75,4,3.5,4.8,3.5,2
"45","1516 Brewing Company","Eejit's Foreign Extra Stout V.10",4.25,4.25,4.25,4,6.3,4.25,2
"46","1516 Brewing Company","NZ Victory Hop Devil IPA",4.15,4.1,4.25,4.15,6.7,4.2,10
"47","16 Mile Brewing Company","Amber Sun Ale",3.58536585365854,3.5,3.70731707317073,3.53658536585366,6.1,3.53658536585366,41
"48","16 Mile Brewing Company","Blues' Golden Ale",3.225,3,3.6,3.45,5.9,3.2,20
"49","16 Mile Brewing Company","Harvest Ale",4.2,4.2,4.1,3.9,6.1,4.2,5
"50","16 Mile Brewing Company","Inlet IPA",3.5,3.4,4,3.6,6.1,3.3,5
"51","16 Mile Brewing Company","Old Court Ale",3.775,3.425,3.95,3.9,6.1,3.5,20
"52","16 Mile Brewing Company","Responders Ale",3,3,3,3,4,3,1
"53","1648 Brewing Company Ltd","Hop Pocket",3.5,4,3.5,3.5,3.7,4,1
"54","1702 / The Address Brewing Co.","Rainy Day IPA",4,4.5,4,4,6.8,4,1
"55","192 Brewing Company","192 Brewing Shticky Blonde",1.5,2,1.5,2.5,6,2,1
"56","2 Brothers Brewery","Grizz",3.5,3.5,3.75,3.25,5.7,3.375,4
"57","2 Brothers Brewery","Growler American Brown Ale",3.81818181818182,3.68181818181818,3.54545454545455,3.77272727272727,4.7,3.86363636363636,11
"58","2 Brothers Brewery","Guvnor",3.5,3.5,3.6,3.5,10.3,3.6,5
"59","2 Brothers Brewery","James Brown",3.9,3.9,3.5,3.6,8.8,3.8,5
"60","2 Brothers Brewery","Rusty Pale Ale",3.875,3.5,3.75,3.75,4.7,3.625,4
"61","2 Brothers Brewery","Taxi Pilsner",3.5,3.5,3.58333333333333,3.75,4.7,3.16666666666667,6
"62","2 Brothers Brewery","The Chief",3.625,3.375,3.75,3.625,6.3,3.5,4
"63","2 Brothers Brewery","Trickster Witbier",3,3.33333333333333,3.16666666666667,3.16666666666667,4.7,3,3
"64","2 Brothers Brewery","Voodoo",3.88888888888889,3.83333333333333,3.83333333333333,3.66666666666667,6.5,3.83333333333333,9
"65","21st Amendment Brewery","21 Rock",4,3.75,4.5,3.75,9.7,4,2
"66","21st Amendment Brewery","21st Amendment Imperial Stout",3.875,3.75,4.25,3.75,10,3.875,4
"67","21st Amendment Brewery","21st Amendment IPA",3.89076923076923,3.80153846153846,3.97769230769231,3.77153846153846,7,3.76769230769231,650
"68","21st Amendment Brewery","21st Amendment Pale Ale",3.85714285714286,3.64285714285714,3.78571428571429,3.5,5.5,3.5,7
"69","21st Amendment Brewery","5-South",4,3.66666666666667,4,4,6,4.16666666666667,3
"70","21st Amendment Brewery","563 Stout",3.5,3.625,4.125,3.375,4,3.25,4
"71","21st Amendment Brewery","Allies Win The War!",3.81858407079646,3.75663716814159,3.97787610619469,3.73451327433628,8.5,3.85840707964602,113
"72","21st Amendment Brewery","Amber Waves",3.66666666666667,3.66666666666667,4,3.66666666666667,5.4,3.66666666666667,3
"73","21st Amendment Brewery","Amendment Pale Ale",4,3.5,4,4,5.6,4.5,1
"74","21st Amendment Brewery","Anchorage Vacation",4.25,4.25,4,4.125,9.3,4.125,4
"75","21st Amendment Brewery","Antiquated IPA",5,4,4.5,4.5,6.5,5,1
"76","21st Amendment Brewery","Baby Horse",4.5,4,4,4,11.8,4.5,1
"77","21st Amendment Brewery","Back In Black",3.69667318982387,3.6545988258317,4.02446183953033,3.64774951076321,6.8,3.6105675146771,511
"78","21st Amendment Brewery","Batch 300",4,4,4,4.25,7.5,4,2
"79","21st Amendment Brewery","Beer School",3.5,4,4.5,5,9,4.5,1
"80","21st Amendment Brewery","Beerly Legal Lager",3,2,2.5,3,5.1,2,1
"81","21st Amendment Brewery","Bitter American",4.11842105263158,3.92105263157895,3.92763157894737,3.76973684210526,4.4,3.89802631578947,152
"82","21st Amendment Brewery","Blind Lust",1,2,4.5,2,9.5,2,1
"83","21st Amendment Brewery","Diesel Imperial Smoked Porter",4,4,3.5,3.5,9.5,4,2
"84","21st Amendment Brewery","Double Trouble IPA",4.175,4.4,4.15,4.2,9.5,4.4,20
"85","21st Amendment Brewery","Drunken Monk Ale",3.375,3.375,3.875,3.875,8.3,3.375,4
"86","21st Amendment Brewery","Eurail IPA",2,2.5,3.5,3.5,6.1,2.5,1
"87","21st Amendment Brewery","Fireside Chat",3.07655502392344,3.36124401913876,3.82775119617225,3.30861244019139,7.9,3.06937799043062,209
"88","21st Amendment Brewery","Frico Neccia",3.5,3.75,3.75,3.5,5.8,3.25,2
"89","21st Amendment Brewery","Friday IPA",3.75,4,4,3.75,8,4.25,2
"90","21st Amendment Brewery","General Pippo's Porter",3.75,3.5,4,3.25,6.8,3.5,4
"91","21st Amendment Brewery","Gigantes",3.875,3.75,4,3.875,7,3.625,4
"92","21st Amendment Brewery","Golden Doom",3.86538461538462,3.73076923076923,3.92307692307692,3.82692307692308,8.2,3.76923076923077,26
"93","21st Amendment Brewery","Harvest Moon",4.16666666666667,4,4,3.5,6.4,4,3
"94","21st Amendment Brewery","Heat Wave IPA",3.5,4,3.5,3.5,8,4,1
"95","21st Amendment Brewery","Hell Or High Watermelon Wheat Beer",3.38877118644068,3.11652542372881,3.23728813559322,3.32521186440678,4.9,3.23728813559322,472
"96","21st Amendment Brewery","Hendrik's Russian Imperial Stout",1.25,3.5,3.75,3,7.5,1.5,2
"97","21st Amendment Brewery","Holiday Spiced Ale",3.75,4,3.875,3.875,6.8,4,4
